case_id,side_mapping_corrected,destination_file,source_file
600001,False,600001-LeftHipBone.stl,600001-LeftHipBone.stl
600001,False,600001-RightHipBone.stl,600001-RightHipBone.stl
600001,False,600001-Sacrum.stl,600001-Sacrum.stl
600002,False,600002-LeftHipBone.stl,600002-LeftHipBone.stl
600002,False,600002-RightHipBone.stl,600002-RightHipBone.stl
600002,False,600002-Sacrum.stl,600002-Sacrum.stl
600003,False,600003-LeftHipBone.stl,600003-LeftHipBone.stl
600003,False,600003-RightHipBone.stl,600003-RightHipBone.stl
600003,False,600003-Sacrum.stl,600003-Sacrum.stl
600004,False,600004-LeftHipBone.stl,600004-LeftHipBone.stl
600004,False,600004-RightHipBone.stl,600004-RightHipBone.stl
600004,False,600004-Sacrum.stl,600004-Sacrum.stl
600005,False,600005-LeftHipBone.stl,600005-LeftHipBone.stl
600005,False,600005-RightHipBone.stl,600005-RightHipBone.stl
600005,False,600005-Sacrum.stl,600005-Sacrum.stl
600006,False,600006-LeftHipBone.stl,600006-LeftHipBone.stl
600006,False,600006-RightHipBone.stl,600006-RightHipBone.stl
600006,False,600006-Sacrum.stl,600006-Sacrum.stl
600007,False,600007-LeftHipBone.stl,600007-LeftHipBone.stl
600007,False,600007-RightHipBone.stl,600007-RightHipBone.stl
600007,False,600007-Sacrum.stl,600007-Sacrum.stl
600008,True,600008-LeftHipBone.stl,600008-RightHipBone.stl
600008,True,600008-RightHipBone.stl,600008-LeftHipBone.stl
600008,True,600008-Sacrum.stl,600008-Sacrum.stl
600021,False,600021-LeftHipBone.stl,600021-LeftHipBone.stl
600021,False,600021-RightHipBone.stl,600021-RightHipBone.stl
600021,False,600021-Sacrum.stl,600021-Sacrum.stl
600024,False,600024-LeftHipBone.stl,600024-LeftHipBone.stl
600024,False,600024-RightHipBone.stl,600024-RightHipBone.stl
600024,False,600024-Sacrum.stl,600024-Sacrum.stl
600025,False,600025-LeftHipBone.stl,600025-LeftHipBone.stl
600025,False,600025-RightHipBone.stl,600025-RightHipBone.stl
600025,False,600025-Sacrum.stl,600025-Sacrum.stl
600026,False,600026-LeftHipBone.stl,600026-LeftHipBone.stl
600026,False,600026-RightHipBone.stl,600026-RightHipBone.stl
600026,False,600026-Sacrum.stl,600026-Sacrum.stl
600027,True,600027-LeftHipBone.stl,600027-RightHipBone.stl
600027,True,600027-RightHipBone.stl,600027-LeftHipBone.stl
600027,True,600027-Sacrum.stl,600027-Sacrum.stl
600028,False,600028-LeftHipBone.stl,600028-LeftHipBone.stl
600028,False,600028-RightHipBone.stl,600028-RightHipBone.stl
600028,False,600028-Sacrum.stl,600028-Sacrum.stl
600029,True,600029-LeftHipBone.stl,600029-RightHipBone.stl
600029,True,600029-RightHipBone.stl,600029-LeftHipBone.stl
600029,True,600029-Sacrum.stl,600029-Sacrum.stl
600030,True,600030-LeftHipBone.stl,600030-RightHipBone.stl
600030,True,600030-RightHipBone.stl,600030-LeftHipBone.stl
600030,True,600030-Sacrum.stl,600030-Sacrum.stl
600031,True,600031-LeftHipBone.stl,600031-RightHipBone.stl
600031,True,600031-RightHipBone.stl,600031-LeftHipBone.stl
600031,True,600031-Sacrum.stl,600031-Sacrum.stl
600032,True,600032-LeftHipBone.stl,600032-RightHipBone.stl
600032,True,600032-RightHipBone.stl,600032-LeftHipBone.stl
600032,True,600032-Sacrum.stl,600032-Sacrum.stl
600033,True,600033-LeftHipBone.stl,600033-RightHipBone.stl
600033,True,600033-RightHipBone.stl,600033-LeftHipBone.stl
600033,True,600033-Sacrum.stl,600033-Sacrum.stl
600034,True,600034-LeftHipBone.stl,600034-RightHipBone.stl
600034,True,600034-RightHipBone.stl,600034-LeftHipBone.stl
600034,True,600034-Sacrum.stl,600034-Sacrum.stl
600036,False,600036-LeftHipBone.stl,600036-LeftHipBone.stl
600036,False,600036-RightHipBone.stl,600036-RightHipBone.stl
600036,False,600036-Sacrum.stl,600036-Sacrum.stl
600037,True,600037-LeftHipBone.stl,600037-RightHipBone.stl
600037,True,600037-RightHipBone.stl,600037-LeftHipBone.stl
600037,True,600037-Sacrum.stl,600037-Sacrum.stl
600038,True,600038-LeftHipBone.stl,600038-RightHipBone.stl
600038,True,600038-RightHipBone.stl,600038-LeftHipBone.stl
600038,True,600038-Sacrum.stl,600038-Sacrum.stl
600039,False,600039-LeftHipBone.stl,600039-LeftHipBone.stl
600039,False,600039-RightHipBone.stl,600039-RightHipBone.stl
600039,False,600039-Sacrum.stl,600039-Sacrum.stl
600040,False,600040-LeftHipBone.stl,600040-LeftHipBone.stl
600040,False,600040-RightHipBone.stl,600040-RightHipBone.stl
600040,False,600040-Sacrum.stl,600040-Sacrum.stl
600041,False,600041-LeftHipBone.stl,600041-LeftHipBone.stl
600041,False,600041-RightHipBone.stl,600041-RightHipBone.stl
600041,False,600041-Sacrum.stl,600041-Sacrum.stl
600042,True,600042-LeftHipBone.stl,600042-RightHipBone.stl
600042,True,600042-RightHipBone.stl,600042-LeftHipBone.stl
600042,True,600042-Sacrum.stl,600042-Sacrum.stl
600043,False,600043-LeftHipBone.stl,600043-LeftHipBone.stl
